# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="be"][word="something"][word="that"][word="you"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.makowskilaw.com/pams_practice_areas/divorce	Also , just because	an asset is something that you	cannot touch right now , such as a retirement plan , does not mean that it cannot be divided .
http://www.catsproblems.co.uk/are-cats-easier-to-care-for-than-dogs	While	a dog is something that you	have to spend time housebreaking , socializing , and training when it 's a puppy , in order for it to grow up to be a good dog , a cat is an animal that you have to do the same thing with when it 's a kitten .
http://healthyschoolscampaign.org/blog/valley-high-school-wins-cooking-up-change-in-orange-county-for-second-year	"	A pita was something that you	do n't see much .
http://pm.stackexchange.com/questions/11400/assumptions-and-constaints-and-risk-management	Generally speaking ,	a risk is something that you	can control , transfer , or accept .
http://horse-drawn.com/content/horse-drawn-weddings		A wedding is something that you	planned ahead for months and months and sometimes even years , so why not have it the way you 've dreamed it .
http://www.moodjuice.scot.nhs.uk/ChronicPain.asp		A goal is something that you	would like to achieve .
http://kurtcagle.tumblr.com		A job is something that you	do for a couple of months to perhaps a couple of years , wrap it up and move on to the next job ( or perhaps jobs ) .
http://law2.umkc.edu/faculty/projects/ftrials/memphis3/WestMemphis3Holmes.html	Now , if you do n't see that match and their manner is stilted , it could be contrived and you could be getting false information but what you 're always looking for when you take	a confession is something that you	can hang your hat on , something that corroborates a confession .
http://books.torontoist.com/2010/05/an-interview-with-stuart-and-kathryn-immonen	As often happens , the way an editor suggests you fix something is not necessarily the way you end up solving the problem , but the instinct that there is	an issue is something that you	need to listen to .
http://www.iidc.indiana.edu/?pageId=394	Like any new concept , using	a schedule is something that you	need to teach your son or daughter .
http://www.electricalknowledge.com/forum/archives/2597.asp		A basement is something that you	walk in and has a concrete floor .
http://leedeth.wordpress.com/category/e-mail		A memory was something that you	lost with age , A CD was a bank account .
# = STATS =============================================================
# HITS:          100
# DUPLICATES:    8
# QUERY TIME:    2020-02-18 09:32:48
# ELAPSED:       73.5019030571 s
# =====================================================================
