# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="look" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.bbc.co.uk/blogs/bbcthree/2011/04/jono-lancaster-so-what-if-my-baby-is-born-like-me.shtml	I do n't think it really matters what	a person looks like	- its what they are and who they are - and you Jono are a beautiful loving caring person , and its obvious that Laura thinks the same .
http://www.bbc.co.uk/blogs/bbcthree/2011/04/jono-lancaster-so-what-if-my-baby-is-born-like-me.shtml	Darling Jono it really does n't matter what	a person looks like	- its the person within that matters - and I feel that with you Jono most people would see immediately beyond your face - and when I see you all I see is a wonderful young man - I watched the programme tonight and all I felt was admiration , love , caring and a VERY special young man .
http://crashburnalley.com/category/nl-east-whining/page/3	I 've got more walks than strikeouts in my career - I know what	a strike looks like	.
http://www.buggyconnection.com/handicap.html	If you are ready to get per say back in the saddle with your horse buddies and	a cart looks like	it might be for you give us a call or email .
http://www.washingtonmonthly.com/features/2005/0506.emanuel.html	What would such	a system look like	?
http://green-beast.com/blog/?p=259	That	a list looks like	the best option in most cases , does n't defend its use in all cases .
http://bf3blog.com/2012/01/dice-intensifies-battlefield-3-anti-cheat-measures	But I have no idea what the hell	a hacker looks like	?
http://amednews.com/article/20070319/business/303199998/5	What does	an embezzler look like	?
http://www.trotonline.co.uk/forum/printthread.php?s=f9d3abe5d7dcf6415976e0abf004caa1%26t=21992%26pp=40	Sometimes also	a coat looking like	an ordinary roan but in which dark blots ( varnish marks ) appear .
http://www.siye.co.uk/siye/viewstory.php?sid=127249	" That thought frightened him , and he tried not to imagine what a baby who was neither a boy nor	a girl looked like	.
http://www.dailymail.co.uk/news/article-2082753/Badger-family-Hundreds-gather-funeral-girls-perished-Christmas-Day-inferno.html	I guess attending	a funeral looking like	a bum is okay these days .
http://www.timesfreepress.com/news/2011/dec/19/local-tea-party-likes-its-candidates-bold/?local	Please do some research before you start telling us what	a leader looks like	.
http://drawnatrandom.wordpress.com	I do n't even know what	an umbrella looks like	, for crying out loud .
http://chriskresser.com/the-healthy-skeptic-podcast-episode-11?replytocom=25205	Now what does	a lipoprotein look like	?
http://www.msmagazine.com/press/2009_obamacoverbuzz.asp	sensibly [ and ] very obviously points out that this is what	a feminist looks like	.
http://hubpages.com/topics/gender-and-relationships/marriage/happy-marriages/2019	What does happiness in	a marriage look like	?
http://home.frognet.net/%7Eejcov/spirals.html	While we all " know " what	a spiral looks like	, different spirals are described precisely by mathematical equations .
http://praxeology.net/libertariannation/a/f42l1.html	What would such	an explanation look like	?
http://hoydenabouttown.com/20090821.6300/no-one-questions-usain-bolt	Not uncommonly they switch to male / female at the point where	a woman looks like	winning the open class .
http://kmareka.com/category/iraq-war	What would such	a definition look like	?
http://darwiniana.org/geology.htm	USGS Media for Science : A large photo library from The U.S. Geological Survey Terrain Sciences in Canada : Want to see what	a tombolo looks like	, or perhaps a pingo ?
http://www.ukbusinessforums.co.uk/forums/showthread.php?s=6782ab71163c735bbc2d3abc2a9fdf05%26t=100776	Say we need a brief , from a laymans point of view I do n't know what	a brief looks like	, i do n't know how to write it , I do n't know how to lay it out , and I do n't 100 % know all the bits and pieces I want at the time any way .
http://taxprof.typepad.com/taxprof_blog/2012/01/wsj-op-ed-first.html	Looking at the cost of training	a lawyer looks like	the cost of building a better buggy whip .
http://anthonyvickers.boroblogs.co.uk/2009/03/black-night-at.html	Does he know what	a hairdryer looks like	?
http://cft.vanderbilt.edu/2011/04/teaching-outside-the-classroom-part-one	Baskauf argued that fieldwork is a part of the basic grounding that a well-rounded biologist ought to h ave.Â Although it can sometimes seem old fashioned in today 's world of molecular science , Baskauf argued that biology students should still know what	a plant looks like	and how to use a microscope .
http://ababj.com/compliance/item/4450-handling-indirect-auto-since-cfpb-s-ally-case/4450-handling-indirect-auto-since-cfpb-s-ally-case	So what might such	a program look like	?
http://www.birdtours.co.uk/tripreports/poland/poland5/PolandREPORt.htm	After driving for a while , we stopped by the road in	a place looking like	a small valley : there where mountains in the sides , and in the middle it was flat and very humid and there were lots of willows and bushes .
http://forum.andrell.co.uk/viewtopic.php?f=2%26t=395%26sid=67092373f31bcd9cda7ac436425fbf38	Would also like to see real examples of what	a piece looks like	that has been graded a 3 b ,3 a ,4 c .
http://www.beekeepingforum.co.uk/archive/index.php/t-10476.html	I was concerned that I did not have enough frames / drawn foundaation to give the queen space Hi dryar , Please do n't think that I 'm trying to talk down to you , its just when I started beekeeping it was hard to make sense of what	an egg looked like	.
http://www.beekeepingforum.co.uk/archive/index.php/t-10476.html	when I started beekeeping it was hard to make sense of what	an egg looked like	..
http://shiflett.org/articles/storing-sessions-in-a-database	What would	a page look like	?
http://www.worldwideshoppingmall.co.uk/toys/shelves/mr-men.asp	The author is Roger Hargreaves who wrote his first book Mr Tickle after being questioned by his son what	a tickle looked like	.
http://www.susnet.co.uk/mastering-the-vi-editor.html	When you start VI for the first time , you will see a screen filled with tildes (	A tilde looks like	this : ~ ) on the left side of the screen .
http://feministing.com/2012/12/05/the-wednesday-weigh-in-does-it-matter-if-people-dont-identify-as-feminists	One of my favourite images is a man wearing the " this is what	a feminist looks like	" t-shirt .
http://www.rightsandwrongs.co.uk/science/90-general/14889-science-our-reasoning-is-affected-by-our-environment	Such	a bias looks like	a definite bug if we evolved to solve problems : you are not going to get the best solution by considering evidence in such a partisan way .
http://www.timeshighereducation.co.uk/story.asp?sectioncode=26%26storycode=405690%26c=2	My lecturers will have so much money to conduct research with that they will forget what	an undergraduate looks like	!
http://forums.theregister.co.uk/user/3911/49	You may have noticed the trend that when	a vendor looks like	it might go bust people stop buying ...
http://india-seminar.com/2013/649/649_akeel_bilgrami.htm	In a short essay , I cannot do much more than gesture at what such	an ideal looks like	from the point of view of these traditions , an elementary philosophical statement intended merely as the opening ( a mere chink ) that would have to be developed at much greater length in another essay , if not a whole book .
http://climateaudit.org/2008/08/03/chucky-in-washington	It does not prove anything , it is there only to illustrate what	a flooding looks like	- kind of a generic flooded house .
http://newdeal.feri.org/classrm/partr2.htm	Students will most likely agree that jumping aboard	a train looks like	something that is fun to do .
http://bigi.org.uk/cochrane/2009/09/04/on-caroline-bergvall-and-visual-poetry		A poem looks like	something , and sounds a certain way ; these are aesthetically important , too .
